               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 140,            0.029313,            0.017152,            0.003152,             0.47737,             0.34936,             0.31569,             0.12938,            0.066399,            0.026654,            0.025469,           0.0031195,           0.0031195,           0.0031195
                 141,            0.029101,            0.016803,           0.0025092,             0.51979,              0.3334,             0.30129,             0.12813,            0.066975,            0.027169,            0.026268,             0.00307,             0.00307,             0.00307
                 142,            0.029941,            0.017573,           0.0031924,             0.53294,             0.31563,             0.31558,             0.12401,            0.066607,            0.027409,            0.026567,           0.0030205,           0.0030205,           0.0030205
                 143,            0.028989,            0.017231,           0.0023586,             0.55541,             0.30779,             0.29835,             0.12562,            0.066641,            0.027451,            0.026345,            0.002971,            0.002971,            0.002971
                 144,             0.02993,            0.016644,           0.0033951,             0.59784,              0.3313,             0.32508,             0.13419,            0.066937,            0.026942,            0.025017,           0.0029215,           0.0029215,           0.0029215
                 145,            0.028942,            0.016533,           0.0028389,             0.57447,             0.32692,             0.31068,             0.12351,            0.066871,            0.027112,             0.02445,            0.002872,            0.002872,            0.002872
                 146,             0.02879,            0.017019,           0.0027408,             0.48057,             0.34457,             0.31478,             0.12905,            0.066345,             0.02723,            0.024108,           0.0028225,           0.0028225,           0.0028225
                 147,            0.029122,            0.016417,           0.0027368,             0.50503,             0.31216,             0.29041,               0.119,            0.066202,            0.028018,            0.025328,            0.002773,            0.002773,            0.002773
                 148,              0.0287,            0.017364,           0.0027211,             0.56239,             0.29804,             0.29401,              0.1183,            0.066725,            0.027878,            0.025383,           0.0027235,           0.0027235,           0.0027235
                 149,            0.027562,            0.016077,           0.0024103,             0.52788,             0.34724,             0.32064,             0.11988,             0.06651,            0.027066,            0.024834,            0.002674,            0.002674,            0.002674
                 150,            0.028429,            0.015954,           0.0027765,             0.50819,             0.30259,             0.28749,             0.11623,            0.067053,            0.027779,            0.024337,           0.0026245,           0.0026245,           0.0026245
                 151,            0.028541,            0.016898,           0.0029611,             0.57658,             0.26618,             0.29131,             0.12006,             0.06754,            0.028216,            0.024939,            0.002575,            0.002575,            0.002575
                 152,            0.028374,            0.016445,           0.0026214,             0.59839,             0.28205,             0.31402,             0.12925,            0.066921,            0.027841,            0.024219,           0.0025255,           0.0025255,           0.0025255
                 153,            0.028548,            0.016655,             0.00226,             0.62577,              0.2865,             0.31271,             0.12403,            0.066891,            0.028041,            0.024343,            0.002476,            0.002476,            0.002476
                 154,            0.027584,            0.016173,           0.0024443,             0.53032,             0.32323,             0.31318,             0.13147,            0.067336,            0.027735,            0.025306,           0.0024265,           0.0024265,           0.0024265
                 155,            0.028392,              0.0164,           0.0029052,             0.53819,             0.29106,             0.28145,             0.12497,            0.067571,            0.027656,            0.025207,            0.002377,            0.002377,            0.002377
                 156,            0.027824,            0.016756,           0.0023657,             0.58607,             0.31824,             0.32183,             0.14102,             0.06749,            0.027544,            0.026409,           0.0023275,           0.0023275,           0.0023275
                 157,            0.027236,            0.015474,           0.0024266,             0.61159,              0.3053,             0.31923,             0.12535,            0.067653,            0.027659,              0.0276,            0.002278,            0.002278,            0.002278
